Publication,Authors,Journal,Year
A rapid method for extraction of cotton (Gossypium spp.) genomic DNA suitable for RFLP or PCR analysis ," AH Paterson, CL Brubaker, JF Wendel "," Plant Molecular Biology Reporter 11, 122-127",1993
An improved method of plant megabase DNA isolation in agarose microbeads suitable for physical mapping and YAC cloning ," RA Wing, VK Rastogi, HB Zhang, AH Paterson, SD Tanksley "," The Plant Journal 4 (5), 893-898",1993
Genome mapping in plants ," AH Paterson, RA Wing "," Current opinion in Biotechnology 4 (2), 142-147",1993
"PCR amplification from single seeds, facilitating DNA marker-assisted breeding. "," GL Wang, RA Wing, AH Paterson "," Nucleic acids research 21 (10), 2527",1993
Comparative analysis of two tomato RFLP maps. ," TH Lan, AH Paterson, RA Wing ", Tomato Genetics Cooperative,1993
国际热带农业中心 (CIAT) 对木薯改良的生物技术研究 , 朱遐 ," 生物技术通报, 1-7",1993
"A detailed RFLP map of cotton, Gossypium hirsutum x Gossypium barbadense: chromosome organization and evolution in a disomic polyploid genome. "," AJ Reinisch, JM Dong, CL Brubaker, DM Stelly, JF Wendel, AH Paterson "," Genetics 138 (3), 829-847",1994
Construction and characterization of bacterial artificial chromosome library of Sorghum bicolor ," SS Woo, J Jiang, BS Gill, AH Paterson, RA Wing "," Nucleic acids research 22 (23), 4922-4931",1994
Comparative mapping of Arabidopsis thaliana and Brassica oleracea chromosomes reveals islands of conserved organization. ," SP Kowalski, TH Lan, KA Feldmann, AH Paterson "," Genetics 138 (2), 499-510",1994
"A detailed RFLP map of Sorghum bicolor x S. propinquum, suitable for high-density mapping, suggests ancestral duplication of Sorghum chromosomes or … "," LM Chittenden, KF Schertz, YR Lin, RA Wing, AH Paterson "," Theoretical and Applied Genetics 87, 925-933",1994
Assessment of DNA pooling strategies for mapping of QTLs ," GL Wang, AH Paterson "," Theoretical and applied genetics 88, 355-361",1994
QTL mapping of naturally-occurring variation in flowering time of Arabidopsis thaliana ," SP Kowalski, TH Lan, KA Feldmann, AH Paterson "," Molecular and General Genetics MGG 245, 548-555",1994
Generation-means analysis and quantitative trait locus mapping of anthracnose stalk rot genes in maize ," M Jung, T Weldekidan, D Schaff, A Paterson, S Tingey, J Hawk "," Theoretical and Applied Genetics 89, 413-418",1994
A simple method for isolation of megabase DNA from cotton ," X Zhao, HB Zhang, RA Wing, AH Paterson "," Plant Molecular Biology Reporter 12, 110-115",1994
"Status of genome mapping in sorghum, and prospects for marker-assisted selection in sorghum improvement. ", AH Paterson ," Sorghum Improvement Conference of North America, USA; University of Georgia …",1994
Quantitative genetics ," R Scholl, KA Feldmann, AH Paterson "," COLD SPRING HARBOR MONOGRAPH SERIES 27, 121-121",1994
Convergent domestication of cereal crops by independent mutations at corresponding genetic loci ," AH Paterson, YR Lin, Z Li, KF Schertz, JF Doebley, SRM Pinson, SC Liu, ... "," Science 269 (5231), 1714-1718",1995
"Comparative analysis of QTLs affecting plant height and maturity across the Poaceae, in reference to an interspecific sorghum population. "," YR Lin, KF Schertz, AH Paterson "," Genetics 141 (1), 391-411",1995
Preparation of megabase‐size DNA from plant nuclei ," HB Zhang, X Zhao, X Ding, AH Paterson, RA Wing "," The Plant Journal 7 (1), 175-184",1995
"The weediness of wild plants: molecular analysis of genes influencing dispersal and persistence of johnsongrass, Sorghum halepense (L.) Pers. "," AH Paterson, KF Schertz, YR Lin, SC Liu, YL Chang "," Proceedings of the National Academy of Sciences 92 (13), 6127-6131",1995
Molecular dissection of quantitative traits: progress and prospects. , AH Paterson ," Genome Research 5 (4), 321-333",1995
The distribution of Gossypium hirsutum chromatin in G. barbadense germ plasm: molecular analysis of introgressive plant breeding ," GL Wang, JM Dong, AH Paterson "," Theoretical and Applied Genetics 91, 1153-1161",1995
Cloning and characterization of the majority of repetitive DNA in cotton (Gossypium L.) ," X Zhao, RA Wing, AH Paterson "," Genome 38 (6), 1177-1188",1995
Isolation of megabase-size DNA from sorghum and applications for physical mapping and bacterial and yeast artificial chromosome library construction ," SS Woo, VK Rastogi, HB Zhang, AH Paterson, KF Schertz, RA Wing "," Plant Molecular Biology Reporter 13, 82-94",1995
USDA plant genome research program ," S Altenbach, O Anderson, J Wendel, D Bigwood, S Cantinhour, E Coe, ... ", ,1995
Comparative Mapping Of Genes Associated With Plant Domestication And Crop Productivity In Sorghum And Related Grain Crops ," AH Paterson, KF Schertz, Y Lin, Y Chang "," Report of Annual Corn and Sorghum Research Conference 50, 227",1995
Polymorphism and concerted evolution in a tandemly repeated gene family: 5S ribosomal DNA in diploid and allopolyploid cottons ," RC Cronn, X Zhao, AH Paterson, JF Wendell "," Journal of Molecular Evolution 42, 685-705",1996
Polymorphism and concerted evolution in a tandemly repeated gene family: 5S ribosomal DNA in diploid and allopolyploid cottons ," RC Cronn, X Zhao, AH Paterson, JF Wendell "," Journal of Molecular Evolution 42, 685-705",1996
"Toward a unified genetic map of higher plants, transcending the monocot-dicot divergence "," A Paterson, TH Lan, J Wendel, K Reischmann, C Chang, YR Lin, SC Liu, ... ", ,1996
Making genetic maps , AH Paterson ," Genome mapping in plants 194, 23-39",1996
Identification of peanut (Arachis hypogaea L.) RAPD markers diagnostic of root-knot nematode (Meloidogyne arenaria (Neal) Chitwood) resistance ," MD Burow, CE Simpson, AH Paterson, JL Starr "," Molecular Breeding 2, 369-379",1996
Genome mapping in plants , AH Paterson , (No Title),1996
Genome-Wide High-Resolution Mapping by Recurrent Intermating Using Arabidopsis thaliana as a Model ," SC Liu, SP Kowalski, TH Lan, KA Feldmann, AH Paterson "," Genetics 142 (1), 247-258",1996
Cross-hybridization and seed germination in Opuntia species ," X Wang, P Felker, A Paterson, Y Mizrahi, A Nerd, C Mondragon-Jacobo "," Journal of the Professional Association for Cactus Development 1, 49-60",1996
DNA marker-assisted crop improvement , AH Paterson ," Genome mapping in plants.(Paterson, AH ed). RG Landes Co, 71-79",1996
The DNA revolution , AH Paterson ," Genome Mapping in Plants, 7-21",1996
Blast resistance genes from Teqing and Lemont ," RE Tabien, SRM Pinson, MA Marchetti, Z Li, WD Park, AH Paterson, ... "," Rice Genetics III: (In 2 Parts), 451-455",1996
Physical mapping and map-based cloning: Bridging the gap between DNA markers and genes , AH Paterson ," Genome mapping in plants, 55-62",1996
An historical perseptive , AH Paterson ," Genome mapping in plants. Academic, Austin, 1-5",1996
Current status of genome mapping in the Cruciferae ," WY Cheung, BS Landry, AH Paterson "," Genome Mapping in Plants, AH Paterson, ed (Landes Bioscience Press, Austin …",1996
QTL analysis of bacterial blight resistance genes in cotton using RFLP markers ," RJ Wright, PM Thaxton, AH Paterson, KM El-Zik ", Beltwide Cotton Conferences (USA),1996
Status of genome mapping in the Malvaceae (cottons) ," AH Paterson, DM Stelly, JF Wendel, X Zhao "," Genome Mapping of Plants, 229-242",1996
Mapping of quantitative trait loci and quantitative-trait-modifying factors affecting three grain yield components in rice (Oryza sativa L.) ," Z Li, SRM Pinson, WD Park, AH Paterson, JW Stansel "," Rice Genetics III: (In 2 Parts), 624-630",1996
"Risk of gene flow from sorghum to Johnsongrass | AH Paterson, JM Chandler | Report for Biotechnology Risk Assessment Research Grants Program 9502365",,,1996
"RFLP mapping of genes: potential, limits and current status "," SRM Pinson, Z Li, RE Tabien, AH Paterson, WD Park, JW Stansel ", Proc 26th Rice Technol Work Group Meet,1996
Toward a Cactus Genome Project: Utilizing Information from Wll-Studied Model Plants to Map the Opuntia Chromosomes ," AH Paterson, C Richardson "," Journal of the Professional Association for Cactus Development 1, 106-109",1996
Genome-wide high resolution mapping by recurrent intermating using Arabidopsis thaliani as a model ," SC Lui, SP Kawalski, TH Lan, KA Feldmann, AH Paterson "," Genetics 142, 247-258",1996
Comparative mapping sows seeds of progress. , AH Paterson , Probe,1996
"Gene selection, interaction and pyramiding for blast resistance in rice "," RE Tabien, Z Li, AH Paterson, MA Marchetti, SRM Pinson ", Philippine Phytopathology (Philippines) 32 (2),1996
Epistasis for Three Grain Yield Components in Rice (Oryxa sativa L.) ," Z Li, SRM Pinson, WD Park, AH Paterson, JW Stansel "," Genetics 145 (2), 453-465",1997
Genetics of Hybrid Sterility and Hybrid Breakdown in an Intersubspecific Rice (Oryza sativa L.) Population ," Z Li, SRM Pinson, AH Paterson, WD Park, JW Stansel "," Genetics 145 (4), 1139-1148",1997
"Environmental influences on cactus pear fruit yield, quality and cold hardiness and development of hybrids with improved cold hardiness "," X Wang, P Felker, A Paterson "," Journal of the Professional Association for Cactus Development 2, 48-59",1997
Epistasis for three grain yield components in rice ," SRM Pinson, IWD Park, AH Paterson, JW Stanselt "," Genetics 145, 453-465",1997
Comparative Molecular and Phenotypic Evolution of Brassica Oleracea and Arabidopsis Thaliana ," AH Paterson, T Lan, TA Delmonte, SP Kowalski "," International Symposium Brassica 97, Xth Crucifer Genetics Workshop 459, 123-126",1997
"Toward a unified genetic map of higher plants, transcending the monocot-dicot divergence (vol 14, pg 380, 1996) "," AH Paterson, TH Lan, KP Reischmann, C Chang, YR Lin, SC Liu, ... "," NATURE GENETICS 15 (3), 322-322",1997
Common location of major and minor genes for blast resistance in rice mapped using molecular markers. ," RE Tabien, Z Li, AH Paterson, MA Marchetti, SRM Pinson ", Philippine Journal of Crop Science 22,1997
Polyploid formation created unique avenues for response to selection in Gossypium (cotton) ," CX Jiang, RJ Wright, KM El-Zik, AH Paterson "," Proceedings of the National Academy of Sciences 95 (8), 4419-4424",1998
Detailed alignment of Saccharum and Sorghum chromosomes: comparative organization of closely related diploid and polyploid genomes ," R Ming, SC Liu, YR Lin, J Da Silva, W Wilson, D Braga, A Van Deynze, ... "," Genetics 150 (4), 1663-1682",1998
Dispersed repetitive DNA has spread to new genomes since polyploid formation in cotton ," X Zhao, Y Si, RE Hanson, CF Crane, HJ Price, DM Stelly, JF Wendel, ... "," Genome Research 8 (5), 479-492",1998
Genetic dissection of the source-sink relationship affecting fecundity and yield in rice (shape Oryza sativa L.) ," Z Li, SRM Pinson, JW Stansel, AH Paterson "," Molecular Breeding 4, 419-426",1998
Molecular dissection of complex traits ," WD Beavis, AH Paterson "," CRC, New York",1998
D-subgenome bias of Xcm resistance genes in tetraploid Gossypium (cotton) suggests that polyploid formation has created novel avenues for evolution ," RJ Wright, PM Thaxton, KM El-Zik, AH Paterson "," Genetics 149 (4), 1987-1996",1998
Plant–pathogen microevolution: molecular basis for the origin of a fungal disease in maize ," DS Multani, RB Meeley, AH Paterson, J Gray, SP Briggs, GS Johal "," Proceedings of the National Academy of Sciences 95 (4), 1686-1691",1998
Evolution of interspersed repetitive elements in Gossypium (Malvaceae) ," RE Hanson, X Zhao, MN Islam‐Faridi, AH Paterson, MS Zwick, CF Crane, ... "," American Journal of Botany 85 (10), 1364-1368",1998
Characterization of tissue tolerance to iron by molecular markers in different lines of rice ," P Wu, B Hu, CY Liao, JM Zhu, YR Wu, D Senadhira, AH Paterson "," Plant and Soil 203, 217-226",1998
"The molecular basis of C4 photosynthesis in sorghum: isolation, characterization and RFLP mapping of mesophyll- and bundle-sheath-specific cDNAs obtained by … "," R Wyrich, U Dressen, S Brockmann, M Streubel, C Chang, D Qiang, ... "," Plant molecular biology 37, 319-335",1998
Comparison of RAPD marker patterns to morphological and physiological data in the classification of Opuntia accessions ," X Wang, P Felker, AH Peterson ", Journal of the Professional Association for Cactus Development 3,1998
Macromolecular organization and genetic mapping of a rapidly evolving chromosome-specific tandem repeat family (B77) in cotton (Gossypium) ," X Zhao, Y Ji, X Ding, DM Stelly, AH Paterson "," Plant molecular biology 38, 1031-1041",1998
Mapping QTLs in autopolyploids ," SC Liu, YR Lin, JE Irvine, AH Paterson "," Molecular Dissection of Complex Traits. CRC Press LLC: Boca Raton, FL, 95-102",1998
RFLP mapping and race specificity of bacterial blight resistance genes (QTLs) in rice ," L Luo, H Mei, X Zhao, D Zhong, Y Wang, X Yu, C Ying, ZK Li, AH Paterson, ... "," Science in China Series C: Life Sciences 41, 542-547",1998
Characterization of 14 different putative protein kinase cDNA clones of the C4 plantSorghum bicolor ," F Annen, JL Chang, AH Paterson, J Stockhaus "," Molecular and General Genetics MGG 259, 115-122",1998
DNA markers diagnostic of genetic factors controlling leaf pubescence in cotton ," RJ Wright, AH Paterson, PM Thaxton, KM El-Zik ", Beltwide Cotton Conferences (USA),1998
MOLECULAR MAPPING OF MAJOR GENES FOR RICE BLAST RESISTANCE IN A WIDELY-COMPATIBLE INTER-SUBSPECIFIC RECOMBINANT INBRED RICE POPULATION ," S Pinson, R TABIEN, Z Li, M Marchetti, A PATERSON ", Rice Technical Working Group Meeting Proceedings,1998
Tagging blast resistance genes in rice using molecular markers ," RE Tabien, Z Li, AH Paterson, MA Marchetti, SRM Pinson "," PhilRice Technical Bulletin 3, 8-16",1998
"Dispersed Repetitive DNA Has Spread to New Genomes Since Polyploid Formation in Cotton Xin-ping Zhao, Yang Si, Robert E. Hanson, 2 Charles F. Crane, 2 H. James Price, 2 "," DM Stelly, JF Wendel, AH Paterson "," Genome Research 8, 479-492",1998
"Characterization of 14 different putative protein kinase cDNA clones of the C~ 4 plant Sorghum bicolor 115 Miyao T, Honda A, Qu Z, Ishihama A Mapping of Rpb3 and Rpb5 contact … "," F Annen, JL Chang, AH Paterson, J Stockhaus "," MOLECULAR AND GENERAL GENETICS 259, 123-129",1998
Mapping QTLs with epistatic effects and QTL× environment interactions by mixed linear model approaches ," DL Wang, J Zhu, ZKL Li, AH Paterson "," Theoretical and Applied Genetics 99, 1255-1264",1999
Comparative genetic mapping of allotetraploid cotton and its diploid progenitors ," CL Brubaker, AH Paterson, JF Wendel "," Genome 42 (2), 184-203",1999
A “defeated” rice resistance gene acts as a QTL against a virulent strain of Xanthomonas oryzae pv. oryzae ," ZK Li, LJ Luo, HW Mei, AH Paterson, XH Zhao, DB Zhong, YP Wang, ... "," Molecular and General Genetics MGG 261, 58-63",1999
Molecular mapping of genes affecting pubescence of cotton ," RJ Wright, PM Thaxton, KM El-Zik, AH Paterson "," Journal of Heredity 90 (1), 215-219",1999
RFLP facilitated analysis of tiller and leaf angles in rice (Oryza sativa L.) ," Z Li, AH Paterson, SRM Pinson, JW Stansel "," Euphytica 109, 79-84",1999
Genetics and mechanism of resistance to Meloidogyne arenaria in peanut germplasm ," K Choi, MD Burow, G Church, G Burow, AH Paterson, CE Simpson, ... "," Journal of Nematology 31 (3), 283",1999
Carbon isotope ratio in cotton varies with growth stage and plant organ ," Y Saranga, I Flash, AH Paterson, D Yakir "," Plant Science 142 (1), 47-56",1999
"A Sorghum propinquum BAC library, suitable for cloning genes associated with loss-of-function mutations during crop domestication "," YR Lin, L Zhu, S Ren, J Yang, KF Schertz, AH Paterson "," Molecular Breeding 5, 511-520",1999
"A Sorghum propinquum BAC library, suitable for cloning genes associated with loss-of-function mutations during crop domestication "," YR Lin, L Zhu, S Ren, J Yang, KF Schertz, AH Paterson "," Molecular Breeding 5, 511-520",1999
Future horizons: biotechnology for cotton improvement ," AH Paterson, RH Smith "," Cotton: origin, history, technology, and production, 415-432",1999
Identification of a RAPD marker linked to a male fertility restoration gene in cotton (Gossypium hirsutum L.) ," TH Lan, CG Cook, AH Paterson "," J Agric genomics 4, 1-5",1999
User manual for QTLMapper version 1.0 ," DL Wang, J Zhu, ZK Li, AH Paterson "," Texas A&M Univ., College Station, TX",1999
Yield heterosis performance and their parental genetic diversity in rice ," L Lijun, M Hanwei, Y Xinqiao, W Yiping, Z Daibin, Y Cunshan, ... "," Chinese Journal of Rice Science 13 (1), 6",1999
"Comprehensive Genetic, Physical, and Database Resources for Maize "," JM Gardiner, EH Coe Jr, KC Cone, SC Chen, RA Dean, E Liscum, ... "," Maize Genetics Conference Abstracts 41, 116",1999
"Comprehensive Genetic, Physical, and Database Resources for Maize "," JM Gardiner, EH Coe Jr, KC Cone, SC Chen, RA Dean, E Liscum, ... "," Maize Genetics Conference Abstracts 41, 116",1999
Epistatic QTLs affecting hybrid breakdown in recombinant inbred populations derived from indica-japonica crosses ," ZK Li, LJ Luo, HW Mei, DB Zhong, CS Ying, QY Shu, DL Wang, R Tabien, ... "," INTERNATIONAL RICE RESEARCH NOTES 24 (3), 11-11",1999
Comparative genomics of plant chromosomes ," AH Paterson, JE Bowers, MD Burow, X Draye, CG Elsik, CX Jiang, ... "," The Plant Cell 12 (9), 1523-1539",2000
An EST-enriched comparative map of Brassica oleracea and Arabidopsis thaliana ," TH Lan, TA DelMonte, KP Reischmann, J Hyman, SP Kowalski, ... "," Genome Research 10 (6), 776-788",2000
Construction of plant bacterial artificial chromosome (BAC) libraries: an illustrated guide ," DG Peterson, JP Tomkins, DA Frisch, RA Wing, AH Paterson "," Journal of Agricultural genomics 5, 1-100",2000
MULTILOCUS INTERACTIONS RESTRICT GENE INTROGRESSION IN INTERSPECIFIC POPULATIONS OF POLYPLOID GOSSYPIUM (COTTON) ," C Jiang, PW Chee, X Draye, PL Morrell, CW Smith, AH Paterson "," Evolution 54 (3), 798-814",2000
Mapping of four major rice blast resistance genes from’Lemont’and’Teqing’and evaluation of their combinatorial effect for field resistance ," RE Tabien, Z Li, AH Paterson, MA Marchetti, JW Stansel, SRM Pinson, ... "," Theoretical and Applied Genetics 101, 1215-1225",2000
QTL analysis of leaf morphology in tetraploid Gossypium (cotton) ," C Jiang, RJ Wright, SS Woo, TA DelMonte, AH Paterson "," Theoretical and Applied Genetics 100, 409-418",2000
Comparative Mapping of Quantitative Trait Loci Sculpting the Curd of Brassica oleracea ," TH Lan, AH Paterson "," Genetics 155 (4), 1927-1954",2000
Use of RFLP markers for identification of individuals homozygous for resistance to Meloidogyne arenaria in peanut ," G Church, C Simpson, M Burow, A Paterson, J Starr "," Nematology 2 (5), 575-580",2000
Identification of molecular markers linked to leaf curl virus disease resistance in cotton ," M Aslam, C Jiang, R Wright, AH Paterson "," JOURNAL OF SCIENCES ISLAMIC REPUBLIC OF IRAN 11 (4), 277-280",2000
Identification of molecular markers linked to leaf curl virus disease resistance in cotton ," M Aslam, C Jiang, R Wright, AH Paterson "," JOURNAL OF SCIENCES ISLAMIC REPUBLIC OF IRAN 11 (4), 277-280",2000
Identification of molecular markers linked to leaf curl virus disease resistance in cotton ," M Aslam, C Jiang, R Wright, AH Paterson "," JOURNAL OF SCIENCES ISLAMIC REPUBLIC OF IRAN 11 (4), 277-280",2000
"Locus-specific contig assembly in highly-duplicated genomes, using the BAC-RF method "," Y Lin, X Draye, X Qian, S Ren, L Zhu, J Tomkins, RA Wing, Z Li, ... "," Nucleic acids research 28 (7), e23-e23",2000
Breeding apomictic forage grasses: molecular strategies ," RW Jessup, BL Burson, AH Paterson, MA Hussey "," Proc. 55th Southern Pasture and Forage Crop Conference, Raleigh, NC June, 12-14",2000
Comparative mapping of grass genomes ," A PATERSON, M HUSSEY, B Burson, W Hanna, M ENGELKE, G BUROW, ... ", Plant and Animal Genome VX Conference Abstracts,2000
A linkage map of apomictic buffelgrass: evidence for segmental allopolyploidy and suppressed recombination ," RW Jessup, BL Burson, AH Paterson, G Burow, MA Hussey ", Proc Plant & Anim Genome VIII 160,2000
"Progress toward integrating genetic, QTL, and physical maps of Sorghum and Sugarcane ", A PATERSON ," Final Abstracts Guide of Plant & Animal Genome, 29",2000
MULTILOCUS INTERACTIONS RESTRICT GENE INTROGRESSION IN INTERSPECIFIC POPULATIONS OF POLYPLOID GOSSYPIUM (COTTON) , AH Paterson ," Evolution 54 (3), 798-814",2000
"Locus-specific contig assembly in highly-duplicated genomes, using the BAC-RF method "," Y rong Lin, X Draye, X Qian, S Ren, L hua Zhu, J Tomkins, RA Wing, Z Li, ... ", Nucleic acids research 28 (7),2000
Overdominant epistatic loci are the primary genetic basis of inbreeding depression and heterosis in rice. I. Biomass and grain yield ," ZK Li, LJ Luo, HW Mei, DL Wang, QY Shu, R Tabien, DB Zhong, CS Ying, ... "," Genetics 158 (4), 1737-1753",2001
Overdominant epistatic loci are the primary genetic basis of inbreeding depression and heterosis in rice. II. Grain yield components ," LJ Luo, ZK Li, HW Mei, QY Shu, R Tabien, DB Zhong, CS Ying, ... "," Genetics 158 (4), 1755-1771",2001
Transmission Genetics of Chromatin From a Synthetic Amphidiploid to Cultivated Peanut (Arachis hypogaea L.): Broadening the Gene Pool of a Monophyletic … ," MD Burow, CE Simpson, JL Starr, AH Paterson "," Genetics 159 (2), 823-837",2001
Genomic dissection of genotype× environment interactions conferring adaptation of cotton to arid conditions ," Y Saranga, M Menz, CX Jiang, RJ Wright, D Yakir, AH Paterson "," Genome research 11 (12), 1988-1995",2001
QTL analysis in a complex autopolyploid: genetic control of sugar content in sugarcane ," R Ming, SC Liu, PH Moore, JE Irvine, AH Paterson "," Genome research 11 (12), 2075-2084",2001
Molecular mapping of genes conferring aluminum tolerance in rice (Oryza sativa L.) ," VT Nguyen, MD Burow, HT Nguyen, BT Le, TD Le, AH Paterson "," Theoretical and Applied Genetics 102, 1002-1010",2001
"Brassica genomics: a complement to, and early beneficiary of, the Arabidopsissequence "," AH Paterson, T Lan, R Amasino, TC Osborn, C Quiros "," Genome Biology 2, 1-4",2001
"Toward integration of comparative genetic, physical, diversity, and cytomolecular maps for grasses and grains, using the sorghum genome as a foundation "," X Draye, YR Lin, X Qian, JE Bowers, GB Burow, PL Morrell, DG Peterson, ... "," Plant Physiology 125 (3), 1325-1341",2001
Construction and characterization of a papaya BAC library as a foundation for molecular dissection of a tree-fruit genome ," R Ming, PH Moore, F Zee, CA Abbey, H Ma, AH Paterson "," Theoretical and Applied Genetics 102, 892-899",2001
Comparative mapping of QTLs determining the plant size of Brassica oleracea ," TH Lan, AH Paterson "," Theoretical and Applied Genetics 103, 383-397",2001
"Development of genomic resources for cotton (Gossypium hirsutum L.): BAC library construction, preliminary STC analysis, and identification of clones associated … "," JP Tomkins, DG Peterson, TJ Yang, D Main, TA Wilkins, AH Paterson, ... "," Molecular Breeding 8, 255-261",2001
Regulatory element from a sugarcane proline rich protein and uses thereof ," TE Mirkov, M Yang, J Irvine, AH Paterson, R Bower ", ,2001
Comparative mapping of plant chromosomes ," AH Paterson, JL Bennetzen "," DNA-based markers in plants, 101-114",2001
Alignment of Pennisetum ciliare and Sorghum bicolor chromosomes based on EST-enriched genetic maps ," GB Burow, RW Jessup, JE Bowers, SR Schulze, Z Li, YW Wang, ... ", International Plant and Animal Genome IX Conference,2001
Molecular genetic map of cotton , AH Paterson ," DNA-Based Markers in Plants, 239-253",2001
"1Department of Crop and Soil Science, University of Georgia, Athens GA 30602< paterson@ uga. edu> 2Department of Biological Sciences, Purdue University, West Lafayette IN 47907 … "," AH PATERSON, JL BENNETZEN "," DNA-Based Markers in Plants 6, 101",2001
"MOLECULAR EVOLUTION AND GENOMICS-Toward Integration of Comparative Genetic, Physical, Diversity, and Cytomolecular Maps for Grasses and Grains, Using the Sorghum Genome as a "," X Draye, YR Lin, X Qian, JE Bowers, GB Burow, PL Morrell, DG Peterson, ... "," Plant Physiology 125 (3), 1325-1341",2001
"Integration of Cot analysis, DNA cloning, and high-throughput sequencing facilitates genome characterization and gene discovery "," DG Peterson, SR Schulze, EB Sciara, SA Lee, JE Bowers, A Nagel, ... "," Genome Research 12 (5), 795-807",2002
Breeding perennial grain crops ," TS Cox, M Bender, C Picone, DLV Tassel, JB Holland, EC Brummer, ... "," Critical Reviews in Plant Sciences 21 (2), 59-91",2002
Characterization of RFLP probe sequences for gene discovery and SSR development in Sorghum bicolor (L.) Moench ," S Schloss, S Mitchell, G White, R Kukatla, J Bowers, A Paterson, ... "," Theoretical and Applied Genetics 105, 912-920",2002
"Genetic, physical, and informatics resources for maize. On the road to an integrated map "," KC Cone, MD McMullen, IV Bi, GL Davis, YS Yim, JM Gardiner, ... "," Plant Physiology 130 (4), 1598-1605",2002
Molecular dissection of complex traits in autopolyploids: mapping QTLs affecting sugar yield and related traits in sugarcane ," R Ming, Y Wang, X Draye, P Moore, J Irvine, A Paterson "," Theoretical and Applied Genetics 105, 332-345",2002
Access to the maize genome: an integrated physical and genetic map ," E Coe, K Cone, M McMullen, SS Chen, G Davis, J Gardiner, E Liscum, ... "," Plant Physiology 128 (1), 9-12",2002
What has QTL mapping taught us about plant domestication? , AH Paterson ," New Phytologist 154 (3), 591-608",2002
Mapping of genes controlling aluminum tolerance in rice: comparison of different genetic backgrounds ," V Nguyen, B Nguyen, S Sarkarung, C Martinez, A Paterson, H Nguyen "," Molecular Genetics and Genomics 267, 772-780",2002
Mapping QTLs for field resistance to the rice blast pathogen and evaluating their individual and combined utility in improved varieties ," R Tabien, Z Li, A Paterson, M Marchetti, J Stansel, S Pinson "," Theoretical and applied genetics 105, 313-324",2002
Comparative analysis of QTLs affecting plant height and flowering among closely-related diploid and polyploid genomes ," R Ming, TA Del Monte, E Hernandez, PH Moore, JE Irvine, AH Paterson "," Genome 45 (5), 794-803",2002
Efficient capture of unique sequences from eukaryotic genomes ," DG Peterson, SR Wessler, AH Paterson "," Trends in Genetics 18 (11), 547-550",2002
